,partido,partido_num,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,who,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños
0,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Comenzamos la campaña, una vez más, junto a la agricultura y el campo madrileño.

Con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. Contra los incendios, por el patrimonio natural y un aire limpio.

Ganas de un Madrid natural.","comenzamos la campana, una vez mas, junto a la agricultura y el campo madrileno.  con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. contra los incendios, por el patrimonio natural y un aire limpio.  ganas de un madrid natural.",positive,2,0.036167525,0.03721679,0.92661566,True,False,False,False,False,58700,198,0.003373083475298126,261,0.00444633730834753,1260,0.021465076660988076,1586985,0.4734,70
1,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Madrid es la región del Espíritu de Ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.","madrid es la region del espiritu de ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.",negative,0,0.90365213,0.06003101,0.036316853,False,False,False,False,False,101600,550,0.0054133858267716535,561,0.0055216535433070865,2127,0.02093503937007874,1586985,0.4734,70
2,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Majadahonda con ganas de Libertad, familia, unidad, alegría, calidad de vida. Con 
@Lola_Moreno__
 , su futura gran alcaldesa.","majadahonda con ganas de libertad, familia, unidad, alegria, calidad de vida. con    , su futura gran alcaldesa.",positive,2,0.0129346745,0.017331418,0.96973395,False,True,False,False,False,59700,140,0.0023450586264656616,213,0.0035678391959798996,1042,0.01745393634840871,1586985,0.4734,70
3,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,❤️❤️,,positive,2,0.32900548,0.32128564,0.3497089,False,True,True,False," @cayetanaAT
",159100,155,0.0009742300439974859,343,0.0021558768070395976,2958,0.018592080452545567,1586985,0.4734,70
4,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,Presidente: líbranos del mal.,presidente: libranos del mal.,positive,2,0.2837285,0.14393745,0.572334,False,True,False,False,False,330800,893,0.002699516324062878,549,0.0016596130592503023,2592,0.007835550181378477,1586985,0.4734,70
5,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"En Madrid sólo habrá 2 tarifas de transporte público: la A, para Madrid capital, y la B, para el resto de la región. Con esta medida, millones de ciudadanos se ahorrarán hasta 180 euros al año.
Seguimos ampliando el Metro, para llegar a los 340 kilómetros. Ya es accesible el 84%.","en madrid solo habra 2 tarifas de transporte publico: la a, para madrid capital, y la b, para el resto de la region. con esta medida, millones de ciudadanos se ahorraran hasta 180 euros al ano. seguimos ampliando el metro, para llegar a los 340 kilometros. ya es accesible el 84%.",negative,0,0.65260035,0.13528435,0.2121153,False,True,False,False,False,213100,308,0.0014453308305959643,759,0.0035617081182543406,3016,0.014152979821679963,1586985,0.4734,70
6,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"Con el candidato a alcalde de #Getafe, 
@AJMesaGarrido
, gran hombre y político para el que pido la confianza de sus vecinos.

Gracias a tantos por acompañarnos.","con el candidato a alcalde de #getafe,   , gran hombre y politico para el que pido la confianza de sus vecinos.  gracias a tantos por acompanarnos.",positive,2,0.029756133,0.025448922,0.944795,False,True,False,False,False,51000,77,0.0015098039215686275,195,0.003823529411764706,835,0.016372549019607843,1586985,0.4734,70
7,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Por la vida y las familias:

Reducciones en el transporte, comedor, libros, nuevos vehículos, extraescolares, salud bucodental y gafas.

Sucesiones y donaciones entre hermanos, tíos y sobrinos al 50%.

Cole en las vacaciones y puentes.

Ayuda extra a la madre estudiante y autónoma.","por la vida y las familias:  reducciones en el transporte, comedor, libros, nuevos vehiculos, extraescolares, salud bucodental y gafas.  sucesiones y donaciones entre hermanos, tios y sobrinos al 50%.  cole en las vacaciones y puentes.  ayuda extra a la madre estudiante y autonoma.",positive,2,0.03831103,0.048353788,0.91333514,False,True,False,False,False,408600,803,0.0019652471855115027,655,0.0016030347528144884,2839,0.006948115516397455,1586985,0.4734,70
8,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Con nuestra candidata a la alcaldía de Pozuelo de Alarcón, 
@PalomaTejero_
, una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.","con nuestra candidata a la alcaldia de pozuelo de alarcon,   , una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.",positive,2,0.061950173,0.04741245,0.8906374,False,True,False,False,False,53800,149,0.0027695167286245354,167,0.003104089219330855,1016,0.01888475836431227,1586985,0.4734,70
9,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-15,"Feliz Día de San Isidro Labrador, patrón de los agricultores y de decenas de municipios de Madrid. 

Este año lo celebramos con la propuesta de dar el nombre de su esposa al premio “Mujer rural Santa María de la Cabeza” en homenaje a las mujeres del campo.","feliz dia de san isidro labrador, patron de los agricultores y de decenas de municipios de madrid.   este ano lo celebramos con la propuesta de dar el nombre de su esposa al premio ""mujer rural santa maria de la cabeza"" en homenaje a las mujeres del campo.",positive,2,0.009604023,0.033154253,0.9572417,False,True,False,False,False,100000,186,0.00186,428,0.00428,2184,0.02184,1586985,0.4734,70
