,partido,partido_num,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,who,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños,Num_words_POST,sentimiento_clean
0,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Comenzamos la campaña, una vez más, junto a la agricultura y el campo madrileño.

Con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. Contra los incendios, por el patrimonio natural y un aire limpio.

Ganas de un Madrid natural.","comenzamos la campana, una vez mas, junto a la agricultura y el campo madrileno.  con nuevas propuestas para los agricultores, rejuvenecer el sector y menos trabas. contra los incendios, por el patrimonio natural y un aire limpio.  ganas de un madrid natural.",positive,2,0.036167525,0.03721679,0.92661566,True,False,False,False,False,58700,198,0.0033730834752981,261,0.0044463373083475,1260,0.021465076660988,1586985,0.4734,70,42,comenzamos campana vez mas junto agricultura campo madrileno nuevas propuestas agricultores rejuvenecer sector menos trabas incendios patrimonio natural aire limpio ganas madrid natural
1,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Madrid es la región del Espíritu de Ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.","madrid es la region del espiritu de ermua, la que no admite totalitarios, ni trata como forasteros ni traga con presentar etarras en listas.",negative,0,0.90365213,0.06003101,0.036316853,False,False,False,False,False,101600,550,0.0054133858267716,561,0.005521653543307,2127,0.0209350393700787,1586985,0.4734,70,24,madrid region espiritu ermua admite totalitarios trata forasteros traga presentar etarras listas
2,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-12,"Majadahonda con ganas de Libertad, familia, unidad, alegría, calidad de vida. Con 
@Lola_Moreno__
 , su futura gran alcaldesa.","majadahonda con ganas de libertad, familia, unidad, alegria, calidad de vida. con    , su futura gran alcaldesa.",positive,2,0.0129346745,0.017331418,0.96973395,False,True,False,False,False,59700,140,0.0023450586264656,213,0.0035678391959798,1042,0.0174539363484087,1586985,0.4734,70,17,majadahonda ganas libertad familia unidad alegria calidad vida futura gran alcaldesa
4,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,Presidente: líbranos del mal.,presidente: libranos del mal.,positive,2,0.2837285,0.14393745,0.572334,False,True,False,False,False,330800,893,0.0026995163240628,549,0.0016596130592503,2592,0.0078355501813784,1586985,0.4734,70,4,presidente libranos mal
5,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"En Madrid sólo habrá 2 tarifas de transporte público: la A, para Madrid capital, y la B, para el resto de la región. Con esta medida, millones de ciudadanos se ahorrarán hasta 180 euros al año.
Seguimos ampliando el Metro, para llegar a los 340 kilómetros. Ya es accesible el 84%.","en madrid solo habra 2 tarifas de transporte publico: la a, para madrid capital, y la b, para el resto de la region. con esta medida, millones de ciudadanos se ahorraran hasta 180 euros al ano. seguimos ampliando el metro, para llegar a los 340 kilometros. ya es accesible el 84%.",negative,0,0.65260035,0.13528435,0.2121153,False,True,False,False,False,213100,308,0.0014453308305959,759,0.0035617081182543,3016,0.0141529798216799,1586985,0.4734,70,51,madrid solo habra 2 tarifas transporte publico madrid capital b resto region medida millones ciudadanos ahorraran 180 euros ano seguimos ampliando metro llegar 340 kilometros accesible 84
6,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-13,"Con el candidato a alcalde de #Getafe, 
@AJMesaGarrido
, gran hombre y político para el que pido la confianza de sus vecinos.

Gracias a tantos por acompañarnos.","con el candidato a alcalde de #getafe,   , gran hombre y politico para el que pido la confianza de sus vecinos.  gracias a tantos por acompanarnos.",positive,2,0.029756133,0.025448922,0.944795,False,True,False,False,False,51000,77,0.0015098039215686,195,0.0038235294117647,835,0.0163725490196078,1586985,0.4734,70,26,candidato alcalde getafe gran hombre politico pido confianza vecinos gracias tantos acompanarnos
7,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Por la vida y las familias:

Reducciones en el transporte, comedor, libros, nuevos vehículos, extraescolares, salud bucodental y gafas.

Sucesiones y donaciones entre hermanos, tíos y sobrinos al 50%.

Cole en las vacaciones y puentes.

Ayuda extra a la madre estudiante y autónoma.","por la vida y las familias:  reducciones en el transporte, comedor, libros, nuevos vehiculos, extraescolares, salud bucodental y gafas.  sucesiones y donaciones entre hermanos, tios y sobrinos al 50%.  cole en las vacaciones y puentes.  ayuda extra a la madre estudiante y autonoma.",positive,2,0.03831103,0.048353788,0.91333514,False,True,False,False,False,408600,803,0.0019652471855115,655,0.0016030347528144,2839,0.0069481155163974,1586985,0.4734,70,43,vida familias reducciones transporte comedor libros nuevos vehiculos extraescolares salud bucodental gafas sucesiones donaciones hermanos tios sobrinos 50 cole vacaciones puentes ayuda extra madre estudiante autonoma
8,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-14,"Con nuestra candidata a la alcaldía de Pozuelo de Alarcón, 
@PalomaTejero_
, una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.","con nuestra candidata a la alcaldia de pozuelo de alarcon,   , una mujer con enorme capacidad de trabajo, dispuesta a dar todo por su municipio.",positive,2,0.061950173,0.04741245,0.8906374,False,True,False,False,False,53800,149,0.0027695167286245,167,0.0031040892193308,1016,0.0188847583643122,1586985,0.4734,70,25,candidata alcaldia pozuelo alarcon mujer enorme capacidad trabajo dispuesta dar municipio
9,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-15,"Feliz Día de San Isidro Labrador, patrón de los agricultores y de decenas de municipios de Madrid. 

Este año lo celebramos con la propuesta de dar el nombre de su esposa al premio “Mujer rural Santa María de la Cabeza” en homenaje a las mujeres del campo.","feliz dia de san isidro labrador, patron de los agricultores y de decenas de municipios de madrid.   este ano lo celebramos con la propuesta de dar el nombre de su esposa al premio ""mujer rural santa maria de la cabeza"" en homenaje a las mujeres del campo.",positive,2,0.009604023,0.033154253,0.9572417,False,True,False,False,False,100000,186,0.00186,428,0.00428,2184,0.02184,1586985,0.4734,70,47,feliz dia san isidro labrador patron agricultores decenas municipios madrid ano celebramos propuesta dar nombre esposa premio mujer rural santa maria cabeza homenaje mujeres campo
10,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"No van a renunciar porque van igualmente en la lista. Y claro que tomarán posesión. ¿Qué palabra tiene un asesino?

La misma que los otros 37 cooperadores necesarios de los asesinatos, secuestros y extorsiones. Son igualmente culpables y así los condena la ley.https://elmundo.es/pais-vasco/2023/05/16/64632c5ce4d4d85f4f8b45a0.html","no van a renunciar porque van igualmente en la lista. y claro que tomaran posesion. ?que palabra tiene un asesino?  la misma que los otros 37 cooperadores necesarios de los asesinatos, secuestros y extorsiones. son igualmente culpables y asi los condena la ley.",negative,0,0.9556507,0.030133193,0.014216188,False,False,False,False,False,834200,1950,0.0023375689283145,2568,0.0030783984655957,8452,0.0101318628626228,1586985,0.4734,70,43,van renunciar van igualmente lista claro tomaran posesion palabra asesino misma 37 cooperadores necesarios asesinatos secuestros extorsiones igualmente culpables asi condena ley
11,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-16,"
A partir de las 21:45h, no te pierdas a la presidenta 
@IdiazAyuso
 en el debate de 
@telemadrid
. 

#DebateTM #YoConAyuso 

📲 Síguelo en directo: http://bit.ly/39NgN3r","a partir de las 21:45h, no te pierdas a la presidenta    en el debate de   .   #debatetm #yoconayuso    siguelo en directo: ",neutral,1,0.07058419,0.8627209,0.06669484,False,True,False,True," @ppmadrid
",737000,394,0.0005345997286295,309,0.0004192672998643,922,0.0012510176390773,1586985,0.4734,70,21,partir 2145h pierdas presidenta debate debatetm yoconayuso siguelo directo
12,pp,4,Isabel Díaz Ayuso, @IdiazAyuso,912100,2023-05-17,"El campeón del mundo de judo es mostoleño. 
@FranGarrigos1
, junto a la escuela Dojo Quino, de Brunete, ha traído 🥇 para todos los españoles. 

Enhorabuena por tu éxito y gracias por tu ejemplo para tantos niños, jóvenes y futuros deportistas.","el campeon del mundo de judo es mostoleno.   , junto a la escuela dojo quino, de brunete, ha traido  para todos los espanoles.   enhorabuena por tu exito y gracias por tu ejemplo para tantos ninos, jovenes y futuros deportistas.",positive,2,0.018643571,0.014389182,0.9669672,False,True,False,False,False,53000,89,0.0016792452830188,222,0.004188679245283,1164,0.0219622641509433,1586985,0.4734,70,39,campeon mundo judo mostoleno junto escuela dojo quino brunete traido espanoles enhorabuena exito gracias ejemplo tantos ninos jovenes futuros deportistas
