step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,57,1,0.21453781717398673,0.0,0.6666666666666666,0.5570827661920339,0.0,0.0,,
2,402,2,0.07303737887062854,0.0,0.3333333333333333,,,,,
3,411,3,1.542787677049637,0.0,0.0,,,,,
4,492,4,0.12092980472691127,0.0,0.6666666666666666,,,,,
5,565,5,0.1677195456875375,0.0,0.6666666666666666,,,,,
6,614,6,0.194661374504852,0.0,0.6666666666666666,,,,,
7,727,7,0.12379591487336644,0.0,0.0,,,,,
8,768,8,0.32066628845315426,0.0,0.3333333333333333,,,,,
9,841,9,0.1789663528854726,0.0,0.0,0.17493845644174144,0.0,0.3333333333333333,,
10,994,10,0.07713545211464647,0.0,0.3333333333333333,,,,,
11,1027,11,0.1967045956561924,0.0,0.6666666666666666,,,,,
12,1124,12,0.10179120666037003,0.0,0.5,,,,,
13,1205,13,0.13835482974172922,0.0,0.3333333333333333,,,,,
14,1246,14,0.19469214965205173,0.0,0.0,,,,,
15,1287,15,0.12445280958727384,0.0,0.5,,,,,
16,1344,16,0.08142735763643161,0.0,0.5,,,,,
17,1409,17,0.08179991821119076,0.0,0.6666666666666666,0.16488006675195357,0.0,0.3333333333333333,,
18,1434,18,0.4043596782768145,0.0,0.3333333333333333,,,,,
19,1483,19,0.08745487435994923,0.0,0.5,,,,,
20,1548,20,0.07497484368264849,0.0,0.6666666666666666,,,,,
21,1621,21,0.06962839378739268,0.0,0.6666666666666666,,,,,
22,1686,22,0.06452458360785385,0.0,0.6666666666666666,,,,,
23,1783,23,0.04733875044916431,0.0,0.5,,,,,
24,1872,24,0.046321761615267444,0.0,0.6666666666666666,,,,,
25,1961,25,0.04857988998672227,0.0,0.6666666666666666,0.06439548397707162,0.0,0.6666666666666666,,
26,2018,26,0.07551561544732456,0.0,0.6666666666666666,,,,,
27,2091,27,0.04143187084817327,1.0,1.0,,,,,
28,2124,28,0.2176980072225706,0.0,0.0,,,,,
29,2181,29,0.12225975068333873,0.0,0.6666666666666666,,,,,
30,2198,30,0.1341699724445789,0.0,0.5,,,,,
31,2287,31,0.056208075710859375,0.0,0.6666666666666666,,,,,
32,2336,32,0.14051923679432848,0.0,0.6666666666666666,,,,,
33,2433,33,0.04975467426046635,0.0,0.6666666666666666,0.048841258332676274,0.0,0.6666666666666666,,
34,2498,34,0.06931496433903703,0.0,0.6666666666666666,,,,,
35,2571,35,0.08058467650396373,0.0,0.6666666666666666,,,,,
36,2628,36,0.046854128129946604,1.0,1.0,,,,,
37,2653,37,0.19615892881372324,0.0,0.6666666666666666,,,,,
38,2678,38,0.14620223540167593,0.0,0.5,,,,,
39,2727,39,0.14364384034946853,0.0,0.6666666666666666,,,,,
40,2736,40,0.25987528610043226,1.0,1.0,,,,,
41,2785,41,0.10321866004475547,0.0,0.6666666666666666,0.056743312369231726,0.0,0.6666666666666666,,
42,2898,42,0.032526630700927595,1.0,1.0,,,,,
43,2995,43,0.05032068067123494,0.0,0.5,,,,,
44,3028,44,0.11935301008532406,0.0,0.6666666666666666,,,,,
45,3085,45,0.0499463343879948,1.0,1.0,,,,,
46,3158,46,0.04955372157527664,0.0,0.6666666666666666,,,,,
47,3215,47,0.06372003126664952,1.0,1.0,,,,,
48,3304,48,0.051145288380390744,1.0,1.0,,,,,
49,3361,49,0.04279115633157613,1.0,1.0,0.0972092533581599,0.0,0.5,,
50,3418,50,0.040943437983888935,1.0,1.0,,,,,
51,3459,51,0.1210362677879166,0.0,0.6666666666666666,,,,,
52,3564,52,0.03740362426532487,1.0,1.0,,,,,
53,3613,53,0.0701905058209862,0.0,0.5,,,,,
54,3630,54,0.25008866947697245,0.0,0.6666666666666666,,,,,
55,3679,55,0.08830805649385487,0.0,0.6666666666666666,,,,,
56,3728,56,0.112083892627658,0.0,0.6666666666666666,,,,,
57,3753,57,0.10636572294635696,0.0,0.6666666666666666,0.047009234126744556,1.0,1.0,,
58,3770,58,0.2557880631025182,0.0,0.6666666666666666,,,,,
59,3875,59,0.04417898793184297,0.0,0.5,,,,,
60,3924,60,0.05681198369591584,1.0,1.0,,,,,
61,3981,61,0.05200180891456382,1.0,1.0,,,,,
62,4086,62,0.0364591875001721,1.0,1.0,,,,,
63,4111,63,0.19056406875994675,0.0,0.6666666666666666,,,,,
64,4192,64,0.06244909144859412,0.0,0.6666666666666666,,,,,
65,4241,65,0.03662552872386489,1.0,1.0,0.1006946442540114,0.0,0.6666666666666666,,
66,4330,66,0.04182254055302607,0.0,0.6666666666666666,,,,,
67,4387,67,0.022395210693638153,1.0,1.0,,,,,
68,4436,68,0.2194980039946192,0.0,0.0,,,,,
69,4501,69,0.03213389147570979,1.0,1.0,,,,,
70,4542,70,0.04537609736860032,1.0,1.0,,,,,
71,4615,71,0.042252606848022775,0.0,0.6666666666666666,,,,,
72,4632,72,0.49830195753718726,0.0,0.0,,,,,
73,4665,73,0.24666946241908588,0.0,0.0,0.028399471557865836,1.0,1.0,,
74,4698,74,0.05138791697143461,0.0,0.6666666666666666,,,,,
75,4707,75,0.21545027907995973,1.0,1.0,,,,,
76,4756,76,0.13958831264875093,0.0,0.6666666666666666,,,,,
77,4789,77,0.14876342933624984,0.0,0.5,,,,,
78,4838,78,0.034313313239060034,1.0,1.0,,,,,
79,4863,79,0.050270927147454736,1.0,1.0,,,,,
80,4904,80,0.13340557659951446,0.0,0.5,,,,,
81,4953,81,0.04961823350551034,1.0,1.0,0.056875221010607976,1.0,1.0,,
82,5010,82,0.07088319954339696,0.0,0.6666666666666666,,,,,
83,5107,83,0.04530620439175133,0.0,0.0,,,,,
84,5196,84,0.05569964386333596,0.0,0.6666666666666666,,,,,
85,5261,85,0.03756279487135544,1.0,1.0,,,,,
86,5310,86,0.06463786560168955,0.0,0.6666666666666666,,,,,
87,5399,87,0.04332251118292334,0.0,0.6666666666666666,,,,,
88,5496,88,0.05543390519148185,0.0,0.6666666666666666,,,,,
89,5569,89,0.06898458658722423,0.0,0.6666666666666666,0.07421886301194901,0.0,0.6666666666666666,,
90,5658,90,0.07496465318575658,0.0,0.5,,,,,
91,5691,91,0.061307824930991045,1.0,1.0,,,,,
92,5748,92,0.048633231251712594,0.0,0.6666666666666666,,,,,
93,5773,93,0.19468420748007093,0.0,0.0,,,,,
94,5862,94,0.03050289938616433,1.0,1.0,,,,,
95,5911,95,0.10455849243424988,0.0,0.0,,,,,
96,5976,96,0.0293776018344397,1.0,1.0,,,,,
97,6073,97,0.0264376801437902,1.0,1.0,0.06313274999182406,0.0,0.5,,
98,6154,98,0.06141246495528685,0.0,0.6666666666666666,,,,,
99,6211,99,0.07554641156657972,0.0,0.6666666666666666,,,,,
100,6292,100,0.04520362734418451,0.0,0.5,,,,,
101,6365,101,0.05261044553778548,0.0,0.5,,,,,
102,6406,102,0.07980103811610025,0.0,0.5,,,,,
103,6463,103,0.059740692658264635,0.0,0.6666666666666666,,,,,
104,6512,104,0.06121077025939789,0.0,0.6666666666666666,,,,,
105,6537,105,0.15408840455318568,0.0,0.6666666666666666,0.04724247020514502,0.0,0.0,,
106,6610,106,0.034406289962935266,1.0,1.0,,,,,
107,6635,107,0.17522509252031643,0.0,0.0,,,,,
108,6684,108,0.09821297637642903,0.0,0.6666666666666666,,,,,
109,6765,109,0.036518030472987455,1.0,1.0,,,,,
110,6790,110,0.12372246262656214,0.0,0.6666666666666666,,,,,
111,6831,111,0.029621789368917236,1.0,1.0,,,,,
112,6904,112,0.055838210397204324,0.0,0.6666666666666666,,,,,
113,6937,113,0.04672985767574574,1.0,1.0,0.024357362536635868,1.0,1.0,,
114,7018,114,0.06710408545992687,0.0,0.6666666666666666,,,,,
115,7051,115,0.06954835517368338,1.0,1.0,,,,,
116,7140,116,0.06837768178421935,0.0,0.6666666666666666,,,,,
117,7165,117,0.07612104961047103,1.0,1.0,,,,,
118,7222,118,0.03849970111432477,1.0,1.0,,,,,
119,7271,119,0.0851846528525736,0.0,0.6666666666666666,,,,,
120,7368,120,0.032412211532831255,0.0,0.5,,,,,
121,7457,121,0.05004076677071929,0.0,0.6666666666666666,0.13564674686131184,0.0,0.6666666666666666,,
122,7554,122,0.048314316279144495,0.0,0.6666666666666666,,,,,
123,7627,123,0.06191957291485677,0.0,0.6666666666666666,,,,,
124,7716,124,0.04968959276999323,0.0,0.6666666666666666,,,,,
125,7773,125,0.05043008707272487,0.0,0.6666666666666666,,,,,
126,7798,126,0.09483141108471804,0.0,0.6666666666666666,,,,,
127,7815,127,0.09744648529333062,0.0,0.5,,,,,
128,7840,128,0.18114706855577725,0.0,0.0,,,,,
129,7913,129,0.059809619714619136,0.0,0.5,0.04815577750394787,0.0,0.6666666666666666,,
130,7946,130,0.10153340591590676,0.0,0.6666666666666666,,,,,
131,8019,131,0.09102662379265693,0.0,0.0,,,,,
132,8036,132,0.19193030524998902,0.0,0.0,,,,,
133,8085,133,0.0272855718479938,1.0,1.0,,,,,
134,8134,134,0.034780910665285776,1.0,1.0,,,,,
135,8231,135,0.050113144043552896,0.0,0.0,,,,,
136,8320,136,0.024029566120728058,1.0,1.0,,,,,
137,8361,137,0.09516162340017037,0.0,0.6666666666666666,0.04327844733749953,0.0,0.6666666666666666,,
138,8394,138,0.09768929460762593,0.0,0.6666666666666666,,,,,
139,8499,139,0.04448441073206666,0.0,0.5,,,,,
140,8564,140,0.03678836854231122,1.0,1.0,,,,,
141,8581,141,0.11527488395804539,0.0,0.5,,,,,
142,8654,142,0.048360960653517394,0.0,0.5,,,,,
143,8687,143,0.07053144367149798,1.0,1.0,,,,,
144,8712,144,0.07497379383664035,1.0,1.0,,,,,
145,8785,145,0.06328955932438678,0.0,0.6666666666666666,0.05703769595465928,0.0,0.6666666666666666,,
146,8866,146,0.03551289087203986,1.0,1.0,,,,,
147,8875,147,0.12225646399892866,1.0,1.0,,,,,
148,8924,148,0.034057162456738295,1.0,1.0,,,,,
149,9021,149,0.024718688864953337,1.0,1.0,,,,,
150,9062,150,0.036537556920338825,1.0,1.0,,,,,
151,9151,151,0.04073260217252855,0.0,0.0,,,,,
152,9200,152,0.1287564189393803,0.0,0.6666666666666666,,,,,
