step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,25,1,0.7875488995302777,0.0,0.0,0.2707336701732261,0.0,0.3333333333333333,,
2,138,2,0.11842314590613698,0.0,0.5,,,,,
3,179,3,0.5453465240696969,0.0,0.0,,,,,
4,220,4,0.35642742637166525,0.0,0.5,,,,,
5,277,5,0.31762381316087807,0.0,0.0,,,,,
6,310,6,0.44113107370581933,0.0,0.0,,,,,
7,359,7,0.33742325843601667,0.0,0.5,,,,,
8,432,8,0.23497872653232965,0.0,0.3333333333333333,,,,,
9,489,9,0.15056415234931464,0.0,0.5,0.15263442303403282,0.0,0.5,,
10,530,10,0.22951771004963673,0.0,0.5,,,,,
11,587,11,0.12659196364510406,0.0,0.5,,,,,
12,660,12,0.12664282289799303,0.0,0.6666666666666666,,,,,
13,733,13,0.06884087744217443,0.0,0.5,,,,,
14,806,14,0.0337309966516073,1.0,1.0,,,,,
15,927,15,0.027810691570766113,1.0,1.0,,,,,
16,1008,16,0.1474504509085091,0.0,0.0,,,,,
17,1073,17,0.040783562298893225,1.0,1.0,0.037188624326809076,1.0,1.0,,
18,1138,18,0.10755173573204957,0.0,0.6666666666666666,,,,,
19,1203,19,0.051198301918448125,1.0,1.0,,,,,
20,1252,20,0.04081341330582897,1.0,1.0,,,,,
21,1333,21,0.07547804350330262,0.0,0.6666666666666666,,,,,
22,1350,22,0.1729907156631816,0.0,0.5,,,,,
23,1399,23,0.04354491756950059,1.0,1.0,,,,,
24,1456,24,0.06486709850973316,0.0,0.6666666666666666,,,,,
25,1513,25,0.03866922158452715,1.0,1.0,0.04150264056166633,1.0,1.0,,
26,1570,26,0.04780591533502696,1.0,1.0,,,,,
27,1651,27,0.0406368314656429,1.0,1.0,,,,,
28,1708,28,0.176049945284363,0.0,0.0,,,,,
29,1725,29,0.2749277892668033,0.0,0.5,,,,,
30,1798,30,0.07098337252093996,0.0,0.5,,,,,
31,1839,31,0.09089674376067707,0.0,0.5,,,,,
32,1896,32,0.05814190510552309,0.0,0.6666666666666666,,,,,
33,1937,33,0.06905302366544493,0.0,0.6666666666666666,0.05941321828451085,0.0,0.5,,
34,1994,34,0.049879117833334013,0.0,0.5,,,,,
35,2019,35,0.12253580577011841,0.0,0.5,,,,,
36,2076,36,0.06315944368551885,0.0,0.6666666666666666,,,,,
37,2165,37,0.04391310461214744,1.0,1.0,,,,,
38,2198,38,0.042708858848418456,1.0,1.0,,,,,
39,2279,39,0.05864965933933855,0.0,0.6666666666666666,,,,,
40,2320,40,0.04183712222066242,1.0,1.0,,,,,
41,2345,41,0.039662070172489614,1.0,1.0,0.06391445657369993,0.0,0.6666666666666666,,
42,2386,42,0.030426478280569425,1.0,1.0,,,,,
43,2491,43,0.051955662300640075,0.0,0.6666666666666666,,,,,
44,2540,44,0.08898357640224276,0.0,0.6666666666666666,,,,,
45,2613,45,0.06284558732243668,0.0,0.6666666666666666,,,,,
46,2686,46,0.0551256007478676,0.0,0.6666666666666666,,,,,
47,2743,47,0.03293312129365014,1.0,1.0,,,,,
48,2800,48,0.045515814439859234,1.0,1.0,,,,,
49,2857,49,0.03534420631252163,1.0,1.0,0.058690818497319316,0.0,0.5,,
50,2946,50,0.03173877433122305,1.0,1.0,,,,,
51,3043,51,0.05614858626104251,0.0,0.5,,,,,
52,3068,52,0.03783827370071473,1.0,1.0,,,,,
53,3157,53,0.02496452906766949,1.0,1.0,,,,,
54,3198,54,0.02715474422648549,1.0,1.0,,,,,
55,3231,55,0.23202365268676656,0.0,0.0,,,,,
56,3328,56,0.03075300109320475,1.0,1.0,,,,,
57,3433,57,0.048676062621189675,0.0,0.5,0.055311630681852963,0.0,0.5,,
58,3522,58,0.05049657772647069,0.0,0.5,,,,,
59,3587,59,0.03663944003477809,1.0,1.0,,,,,
